date,close,volume,marketCap,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2021-08-22,180.24652136301282,1624853593.7430768,12055320164.0744,273.567,1.0277116757503644,149.31446206586668,2201948384.9024286,3396442817.918993,-3.0243080903207726,-0.01650185192778242,-212612267.88934207,105.1500600248337,0.0,3.02,2.4642857142857055,2.7671428571428467,0.8905524006195149,47.105406881485536,4.107857142857133,2.365714285714287,1.7364130434782559,63.45580933465733,2.4941999999999966,1.6406000000000003,1.5202974521516495,60.32214375544159,4.723499999999992,4.5340000000000025,1.0417953242170246,51.02349446394809,-0.016639524152032514,0.10040372302364439,0.18900619332965413,1.0763137553542432,-0.07398637015667778,0.8386974782493017,1.1303753110078298,0.7343002864940549
2021-08-23,185.57933268149694,2108165260.9256732,12396744160.233543,273.567,1.0277116757503644,149.31446206586668,2226175240.130069,3332647142.523852,5.332811318484119,0.029586209365694005,483311667.18259645,-3.27320686609742,5.33,0.0,2.9185714285714206,2.7671428571428467,1.0547237996902437,51.331658291457316,4.488571428571419,1.91357142857143,2.345651362448668,70.11045408903263,2.5451999999999964,1.6406000000000003,1.5513836401316567,60.80558077308993,4.683449999999992,4.5340000000000025,1.0329620644022914,50.81069059230042,0.029156983043113094,0.10454822417496423,0.18117724692632525,1.0746906843283899,0.09981172663618042,1.2497725601166543,1.162018899341801,0.6676483700190301
2021-08-24,187.04851414210248,2076516806.6442044,12485977360.203775,273.567,1.0277116757503644,149.31446206586668,2253810902.81561,3272548898.843635,1.4691814606055402,0.007916729947116785,-31648454.28146887,-1.0654824959346822,1.47,0.0,3.12857142857142,1.914285714285704,1.6343283582089596,62.03966005665728,3.3907142857142754,1.91357142857143,1.7719298245613968,63.92405063291131,2.4711999999999965,1.6406000000000003,1.5062781909057639,60.10019942604209,4.690799999999992,4.480200000000003,1.0470068300522275,51.148184494602496,0.007885557057402792,0.09688832754148789,0.15218450302408543,1.0747006644239863,0.5249596772700642,0.8271500267296311,1.062481608557103,0.753974134881777
2021-08-25,173.7467616491553,1949349383.2540514,11642596607.39695,273.567,1.0277116757503644,149.31446206586668,2272455423.3807645,3208316875.2038183,-13.301752492947173,-0.07111391691057067,-127167423.39015293,3.018124305824734,0.0,13.3,3.12857142857142,2.3628571428571328,1.324062877871828,56.971904266389224,3.3907142857142754,2.8171428571428585,1.2036004056795089,54.61972155102971,2.4711999999999965,1.7652000000000003,1.3999546793564446,58.33254650174673,4.642099999999992,4.546700000000002,1.0209822508632613,50.519110221138725,-0.07376917084167545,0.10922831060461768,0.17288225384025693,1.0773606082987337,0.33767202717512473,0.3509156562539431,0.9594403396047577,0.6022396972137654
2021-08-26,178.02832560623148,1712750334.7468586,11883856192.012661,273.567,1.0277116757503644,149.31446206586668,2269890922.56137,3133690480.851719,4.281563957076173,0.024642554004671968,-236599048.50719285,0.8605319051035647,4.28,0.0,3.7399999999999918,2.331428571428561,1.6041666666666703,61.60000000000006,3.312857142857133,2.8171428571428585,1.1759634888438093,54.04334653926815,2.5537999999999963,1.7652000000000003,1.4467482438250598,59.129428108358375,4.658499999999992,4.546700000000002,1.0245892625420612,50.60726545865375,0.024343823970371936,0.11064673721116529,0.171702732128012,1.0700239942984848,0.5714760310298591,0.3086020189895007,1.0425841932127662,0.6219352238324865
2021-08-27,169.5180560081577,1930035470.078196,11315773446.110418,273.567,1.0277116757503644,149.31446206586668,2266793275.666866,3047491416.0053606,-8.510269598073762,-0.04780289635985813,217285135.33133745,-1.9183685932056136,0.0,8.51,2.7928571428571347,3.547142857142847,0.7873540072492952,44.05137449301487,3.312857142857133,3.022857142857144,1.095935727788276,52.28861330326936,2.5537999999999963,1.9192000000000005,1.3306586077532283,57.093673150011135,4.658499999999992,4.564350000000002,1.0206272525113083,50.510417061971026,-0.04898322398212951,0.1169675331763667,0.17588541197418847,1.0672475187945416,-0.21506921023131004,0.21790488064883817,0.874880491989955,0.6041532767169749
2021-08-28,175.83486006887645,2657520591.422942,11747791807.570658,273.567,1.0277116757503644,149.31446206586668,2278826522.163532,2933787802.474095,6.316804060718738,0.03726331111545278,727485121.3447461,2.348066678539267,6.32,0.0,2.4857142857142773,3.547142857142847,0.7007652033830041,41.20293630120766,2.4749999999999903,3.022857142857144,0.818761814744798,45.017539301026275,2.6801999999999966,1.8078000000000003,1.4825755061400576,59.71925133689836,4.604549999999992,4.564350000000002,1.008807387689373,50.21921931747532,0.03658581323160437,0.1118149029239973,0.14399471630248284,1.0657717860621256,-0.32749229297053095,-0.23255295330035075,1.159952574115787,0.5244025265721776
2021-08-29,175.64062407803442,2110524159.6448045,11724470872.323118,273.567,1.0277116757503644,149.31446206586668,2279105612.8006697,2847251332.8358903,-0.19423599084203147,-0.0011046500720388597,-546996431.7781377,-1.7519005072805096,0.0,0.19,2.4857142857142773,3.1428571428571326,0.7909090909090908,44.16243654822335,2.4749999999999903,2.955000000000001,0.8375634517766462,45.58011049723746,2.6215999999999964,1.8116000000000003,1.4471185692205761,59.13561310114586,4.536849999999992,4.565300000000002,0.993768208003853,49.84371824239323,-0.0011052606476198434,0.1111541024698907,0.1439642690488436,1.0610858730685224,-0.18880183538446102,-0.19682146815587412,1.0778820014469883,0.4361873216564644
2021-08-30,174.98879456122884,2285728184.809266,11680959547.858044,273.567,1.0277116757503644,149.31446206586668,2238984482.2496147,2786143302.690913,-0.6518295168055772,-0.0037111546387809113,175204025.1644616,-1.320301952601264,0.0,0.65,1.724285714285706,3.2357142857142756,0.5328918322295797,34.763824884792584,2.321428571428562,3.0014285714285722,0.7734412184673931,43.61245303274278,2.6215999999999964,1.8086000000000004,1.4495189649452591,59.175657983838164,4.534699999999992,4.568550000000003,0.9925906469229819,49.814077389943094,-0.0037180580582214517,0.10447848773733281,0.14312763464822223,1.059917467469091,-0.5260904441192443,-0.3072661666819698,1.0860944264550283,0.429470617123389
2021-08-31,167.95684016784602,2264146083.5081596,11187356992.431515,273.567,1.0277116757503644,149.31446206586668,2214380595.2097535,2744498355.0474052,-7.031954393382819,-0.04018516963337515,-21582101.301106453,-1.1231826796264963,0.0,7.03,1.5142857142857058,4.2399999999999896,0.35714285714285604,26.31578947368415,2.321428571428562,3.077142857142858,0.7544103992571927,43.00079386080963,2.6215999999999964,1.9470000000000005,1.3464817668207476,57.38300573479837,4.519799999999992,4.603700000000003,0.9817755283793448,49.54019838877618,-0.04101489815973114,0.10700211728687699,0.14512681440303202,1.0566729179236556,-0.9699359472995557,-0.3577566080806398,0.9323480833015066,0.3667055751066728
