date,close,volume,marketCap,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_diff_pc_change,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2021-03-30,28.032732856455954,1025089085.8923151,11690621458.170713,264.877,1.0614285121018434,26.12449997572293,1423907427.527358,2066081673.4010313,1.3507739452364014,-0.04818559617976448,-8.808430187698683,196131651.10007644,6.5952570201540865,1.35,0.0,0.5714285714285714,0.47714285714285715,1.1976047904191616,54.4959128065395,0.5692857142857147,0.5285714285714286,1.077027027027028,51.854261548471065,0.7247999999999997,0.6589999999999996,1.099848254931715,52.37751120104062,0.4816000000000004,0.4042500000000001,1.191341991341992,54.36586329514027,0.049385217167107864,0.13603469298895707,0.19420787936367548,1.1181239505589882,-0.43133597729037615,-0.39217634613132346,-0.3134403428532759,-0.33732965041497404
2021-03-31,27.76916825646867,879939041.4260519,11533777805.740938,264.877,1.0614285121018434,26.12449997572293,1384431860.098678,2067078389.7286346,-0.26356459998728354,0.009491267349208021,-1.195121175468895,-145150044.4662633,-1.740064358058151,0.0,0.26,0.5714285714285714,0.4471428571428571,1.2779552715654952,56.10098176718092,0.5307142857142861,0.5471428571428572,0.9699738903394264,49.23790589794568,0.7087999999999997,0.6641999999999996,1.0671484492622705,51.62418062636562,0.4816000000000004,0.4053500000000001,1.1881090415690152,54.29843846891033,-0.009446508262024977,0.13484413559040132,0.19345374535969906,1.11822099645769,-0.4573332519049968,-0.3538098813820834,-0.301588157349522,-0.3368315047038089
2021-04-01,29.189755410668372,1475136599.3211038,12076610997.823355,267.05400000000003,1.0527758430879146,30.730269361996413,1374365439.5758488,2072007834.1227686,1.4205871541997013,-0.048667319551451316,-6.389901201710099,595197557.895052,-5.100567520207626,1.42,0.0,0.7742857142857142,0.14285714285714285,5.42,84.42367601246106,0.4114285714285718,0.5471428571428572,0.7519582245430816,42.92101341281671,0.6945999999999997,0.6641999999999996,1.045769346582355,51.11863408890197,0.4876000000000004,0.4053500000000001,1.2029110645121508,54.605521025813324,0.04989145589763666,0.09388419143755578,0.1673143404344117,1.1189372865453429,-1.2300040726942774,-0.32278104128592694,-0.2954586711632195,-0.3388758928930948
2021-04-02,30.113326204109278,1737067283.9954464,12533071757.561026,267.05400000000003,1.0527758430879146,30.730269361996413,1381546285.378322,2079917651.8401372,0.9235707934409056,-0.03066983657603639,-0.34986685560928754,261930684.67434263,-0.559926479536182,0.92,0.0,0.7914285714285715,0.14285714285714285,5.540000000000001,84.70948012232417,0.4771428571428575,0.43571428571428567,1.0950819672131156,52.26917057902975,0.7129999999999996,0.6439999999999997,1.1071428571428572,52.54237288135593,0.4922000000000004,0.40190000000000015,1.2246827569047032,55.049770719158936,0.031149999197544798,0.09380643447009276,0.16266048989764864,1.1182763250163426,-1.227995952499022,-0.4683604844149055,-0.31703772716472367,-0.3462381949131944
2021-04-03,32.35770222660138,1511740166.625859,13510625678.036886,267.05400000000003,1.0527758430879146,30.730269361996413,1361607602.3497949,2079923834.6088743,2.244376022492105,-0.06936141530615225,1.4301071866189439,-225327117.36958742,-1.8602547565197858,2.24,0.0,0.8471428571428571,0.14285714285714285,5.93,85.56998556998556,0.6128571428571432,0.43571428571428567,1.4065573770491813,58.44686648501364,0.7357999999999997,0.6439999999999997,1.1425465838509317,53.32656906798086,0.5028500000000004,0.40190000000000015,1.2511818860413042,55.57888919591048,0.07188427826279087,0.09490895610474624,0.17726431215459146,1.118399363473004,-1.2217058287185703,-0.519278356252647,-0.3236927205559911,-0.3499914328214954
2021-04-04,29.314506577914415,1632971521.072729,12338407563.969858,267.05400000000003,1.0527758430879146,30.730269361996413,1371848449.2858694,2080896643.893949,-3.043195648686968,0.10381193490664842,-2.355920584692342,121231354.44687009,-1.5380238111688227,0.0,3.04,0.8471428571428571,0.4957142857142857,1.7089337175792505,63.085106382978715,0.6128571428571432,0.6492857142857142,0.9438943894389445,48.556876061120555,0.6793999999999997,0.7047999999999996,0.963961407491487,49.082502528536345,0.5028500000000004,0.4112500000000001,1.2227355623100309,55.010392736024514,-0.09876958452745432,0.15219815919317622,0.2058959397900147,1.1229554886283317,-0.5305613523773057,-0.3119910474955049,-0.2622064457847114,-0.3504006954896556
2021-04-05,30.783261040894555,1145059593.897629,12842928797.743837,267.05400000000003,1.0527758430879146,30.730269361996413,1332707990.7389436,2081743666.2593462,1.4687544629801401,-0.04771276379812228,-1.48263556883497,-487911927.1751001,-5.024634793542034,1.47,0.0,1.0571428571428572,0.4714285714285715,2.242424242424242,69.1588785046729,0.7178571428571433,0.6121428571428572,1.172695449241541,53.97422126745436,0.6407999999999997,0.7047999999999996,0.9091940976163451,47.6218787158145,0.5102000000000004,0.4102500000000001,1.2436319317489344,55.42940952794831,0.04888857099925348,0.15419638984821998,0.21087727093144024,1.1234807112992724,-0.6531909996693316,-0.38649136189845923,-0.25110650295351594,-0.3551970609994298
2021-04-06,32.3555256164164,1498434775.8426392,13479390430.348896,267.05400000000003,1.0527758430879146,30.730269361996413,1327547127.3934774,2085968841.4245944,1.5722645755218458,-0.04859338692752124,0.07047475609482134,353375181.9450102,-1.724260183576517,1.57,0.0,1.0885714285714285,0.4714285714285715,2.3090909090909086,69.78021978021978,0.8300000000000004,0.4742857142857143,1.7500000000000007,63.63636363636365,0.6721999999999997,0.6927999999999996,0.9702655889145497,49.24542124542125,0.5168500000000004,0.4102500000000001,1.259841560024376,55.74911012835725,0.049813744122598536,0.15429084964943984,0.20037958550667415,1.1223776532706682,-0.6537992772088045,-0.5641611567941095,-0.2702433473053303,-0.3568843906328561
2021-04-07,34.77497601537928,2679304050.9966745,14516869513.169882,267.05400000000003,1.0527758430879146,30.730269361996413,1331285398.9456472,2093938866.6409042,2.41945039896288,-0.06957446636031828,0.5388315914704414,1180869275.1540353,2.3416870665744547,2.42,0.0,1.4342857142857142,0.4342857142857143,3.302631578947368,76.75840978593271,1.0028571428571433,0.4407142857142858,2.2755267423014596,69.470559129144,0.7205999999999997,0.6761999999999996,1.0656610470275067,51.5893470790378,0.5289500000000004,0.40560000000000007,1.304117357001973,56.5994328821358,0.07211323443146656,0.15735644045036726,0.20616724940599965,1.1242456507333927,-0.8269808693189291,-0.6606521292301525,-0.2964525891144694,-0.37045544075012016
2021-04-08,31.2658584679489,2448511882.3178535,13139183162.496233,267.05400000000003,1.0527758430879146,30.730269361996413,1373408419.9936757,2105636099.3359473,-3.5091175474303817,0.11223480561161092,-2.450377965563831,-230792168.6788211,-1.1954426061671526,0.0,3.51,1.2314285714285713,0.9357142857142857,1.316030534351145,56.82267633487146,1.0028571428571433,0.5392857142857143,1.8596026490066235,65.0301065308013,0.7205999999999997,0.7355999999999996,0.9796084828711258,49.484960857025136,0.5286000000000004,0.42315000000000014,1.2492024104927337,55.53979511426321,-0.10637132966362284,0.20665493110475108,0.21968524282332544,1.1296853563732425,-0.3397160011319615,-0.5847230107096297,-0.2598085812370543,-0.35840796717817297
